100		
9	9	8
5	2	5
3	2	17
0	12	20
15	19	20
11	17	20
0	7	1
7	17	8
13	13	13
7	11	19
11	0	18
18	19	10
19	6	8
2	17	18
3	18	2
15	0	15
14	17	11
5	12	1
16	9	4
9	11	15
9	17	2
17	19	13
18	20	12
20	5	11
17	8	16
11	16	1
10	0	19
8	10	13
2	18	4
11	10	6
4	2	12
4	13	20
6	9	3
13	15	13
7	18	1
13	17	13
11	7	5
0	13	20
10	18	11
7	8	15
2	2	20
19	10	7
18	18	5
20	18	8
14	14	18
5	12	3
1	12	18
17	9	12
6	12	8
20	1	7
14	2	9
12	2	19
6	20	19
13	1	11
9	15	10
10	16	19
9	19	19
2	0	10
7	20	5
16	6	8
5	0	16
6	8	18
4	18	17
2	11	6
7	7	13
16	19	15
0	18	19
6	1	0
1	10	2
3	4	0
9	17	1
3	12	14
9	5	2
8	1	15
14	4	2
15	18	19
6	6	20
3	19	8
9	6	19
10	1	19
10	4	12
7	18	9
9	7	0
13	1	3
2	9	1
7	19	2
19	18	5
2	8	1
7	15	1
13	5	17
3	16	0
18	7	0
3	2	9
10	9	13
17	0	1
17	17	17
15	13	17
18	16	8
0	9	4
1	3	9
